,fips_code,agr,con,ext,neu,ope
0,0,-0.68137,-1.82017,-0.36967,0.87733,-0.00245
1,1001,-0.72685,-0.61908,0.04729,0.53763,-0.29099
2,1003,0.18771,0.39662,0.29649,0.0994,0.39573
3,1005,-0.24126,-0.21672,0.5065,-0.22808,-0.60496
4,1009,-0.02345,-0.10987,0.10189,0.96879,-0.28931
5,1013,-0.5105,-0.39438,0.46927,0.40193,-0.70735
6,1015,-0.46236,0.09255,0.47208,-0.27758,0.16136
7,1017,-0.31556,-0.16364,0.00861,0.17627,-0.57999
8,1019,0.28718,0.41106,0.14566,0.539,-0.18347
9,1021,0.04762,-0.50004,0.04097,0.61159,-0.1212
10,1025,-0.14918,-0.52331,-0.08236,0.25421,-0.86318
11,1027,-0.16165,0.01699,0.39439,0.12359,-0.37547
12,1031,-0.22961,-0.05848,0.29057,0.04966,-0.29102
13,1033,-0.12151,-0.12579,0.16929,0.20858,-0.46415
14,1039,-0.66808,-0.50258,0.11966,0.3358,-0.28629
15,1043,0.91393,0.81709,0.0857,0.03337,-0.07733
16,1045,-0.50265,-0.32909,-0.52315,0.54125,-0.25487
17,1047,-0.60011,-0.09436,0.32264,-0.09296,-0.54643
18,1049,0.33422,-0.2607,0.10087,0.59104,0.31085
19,1051,-0.37889,-0.50021,0.06038,0.43872,-0.33994
20,1053,-0.76198,-0.22606,-0.22249,0.35491,-0.70057
21,1055,-0.98271,-0.77225,0.88289,0.02703,-0.0727
22,1059,-0.12928,-0.23953,0.04171,0.63479,-0.54758
23,1065,0.05509,0.07369,0.56326,-0.1313,-1.09995
24,1067,-0.48262,-0.25226,0.33781,-0.00659,-0.83333
25,1069,-0.08132,0.2347,0.07456,-0.3031,0.07602
26,1071,0.03409,-0.14502,-0.15552,0.68826,0.14991
27,1073,0.08589,1.01762,-0.03156,-0.72313,0.87849
28,1075,0.06959,0.1429,0.64365,0.15738,-0.73119
29,1077,0.50381,0.31635,-0.05834,0.07655,0.41998
30,1079,-0.13976,-0.25044,0.23597,0.27278,-0.77068
31,1081,0.16877,0.42167,-0.02911,-0.48719,0.57158
32,1083,0.1983,0.13347,0.23241,0.2465,-0.02862
33,1087,-0.22704,-0.00735,0.41179,0.19807,-0.25657
34,1089,-0.06935,0.66278,-0.0758,-0.68566,0.79659
35,1091,-0.41302,0.05942,0.09251,0.04345,-1.02562
36,1093,0.70345,-0.03603,-0.19259,0.57979,0.06127
37,1095,-0.30458,-0.76924,-0.63642,1.31168,-0.10064
38,1097,-0.4606,0.06411,0.23864,-0.22517,0.39424
39,1099,-0.11885,0.06113,0.22797,-0.16242,-0.7731
40,1101,-0.59083,0.58132,0.22706,-0.67681,0.23249
41,1103,0.20353,-0.08252,0.30043,0.15989,0.03355
42,1107,-0.64173,-0.56852,0.74593,0.20205,-0.20763
43,1109,0.01105,0.21686,0.33828,-0.67146,-0.07427
44,1111,-0.25299,-0.32261,0.21269,0.32347,-0.70073
45,1113,-0.56702,-0.32598,0.4173,0.45924,-0.45891
46,1115,-0.07925,0.11121,-0.35603,0.35807,0.01354
47,1117,0.31416,0.28571,-0.35775,-0.03985,0.34824
48,1119,-0.07247,0.27784,0.14777,-0.07855,-0.90887
49,1121,-0.37595,0.12554,0.12908,-0.24446,-0.33986
50,1123,-0.07882,0.03229,0.37993,-0.03202,-0.97229
51,1125,-0.08125,0.4909,0.23655,-0.442,0.34325
52,1127,-0.12206,-0.25757,-0.05173,0.62195,-0.06533
53,1129,-0.20686,-0.0184,0.07149,0.49476,-1.24835
54,1133,0.45217,0.10188,0.07353,0.3355,-0.37607
55,2020,-0.07187,0.50272,-0.75724,-0.36715,1.58586
56,2090,-0.28287,-0.59824,-0.5237,0.62141,1.36446
57,2110,0.12631,-0.38865,-1.09106,0.45,1.1244
58,2122,0.69218,0.66584,-0.88539,-0.07798,0.92166
59,2150,-0.11822,-1.16382,-0.54062,0.78234,0.1248
60,2170,-0.10116,-0.12038,-0.7597,0.24337,1.27837
61,4001,0.35092,-0.50354,-0.06984,0.71978,0.05452
62,4003,0.01974,-0.66798,-0.86342,0.70661,0.68825
63,4005,0.74433,0.65628,-0.81076,-0.17179,1.59291
64,4007,-0.13541,0.44991,0.26092,-0.58486,1.48387
65,4009,0.14672,-0.2882,0.04959,0.37166,0.04025
66,4012,0.14107,-0.8316,0.59355,0.052,-0.64639
67,4013,0.05287,0.45258,-0.23246,-0.58507,1.60016
68,4015,0.03812,-0.03279,-0.35367,0.22048,1.15306
69,4017,0.4019,-1.06553,-0.72064,1.05835,0.27433
70,4019,-0.30644,-0.66394,-0.48478,0.31637,1.17613
71,4021,-0.23777,-0.5188,-0.5592,0.61058,0.51491
72,4023,0.41851,-0.62155,-0.46616,0.639,0.20258
73,4025,0.26889,0.65079,-0.82734,0.36093,1.41868
74,4027,-0.36448,-1.45625,-0.08923,0.73662,0.37
75,5001,0.31117,0.36822,0.24366,-0.35606,-0.54324
76,5003,-0.24306,-0.00175,0.18284,0.31143,-0.91036
77,5005,0.93093,0.58384,-0.21874,0.23458,-0.14444
78,5007,0.89073,0.7108,-0.35306,-0.49273,0.44264
79,5009,1.06919,1.49939,-0.1267,-1.02619,0.07974
80,5015,0.66997,0.84858,0.02188,-0.09694,0.22897
81,5019,0.54398,0.26294,0.54915,-0.61874,-0.14746
82,5023,0.49872,0.31634,0.61408,-0.40978,-0.37501
83,5027,-0.26503,-0.01921,0.14381,-0.41442,-0.40527
84,5029,0.29074,0.30352,0.00525,0.3595,-0.28005
85,5031,0.4806,0.80219,-0.05099,-0.42376,0.24752
86,5033,0.67884,0.16539,-0.3027,0.40288,-0.12543
87,5035,-0.34212,-0.25762,0.22872,0.09296,-0.26543
88,5037,0.12087,-0.11514,0.1387,-0.03159,-0.83825
89,5041,-0.31831,-0.43568,0.53387,0.0368,-1.09026
90,5043,-7e-05,-0.10718,-0.11413,-0.10897,-0.70185
91,5045,0.39493,0.65081,-0.07839,-0.47818,0.42547
92,5051,0.53761,1.10897,-0.39466,-0.20489,0.98363
93,5053,0.16614,-0.05878,0.16578,0.20626,-0.73709
94,5055,0.43886,-0.07421,-0.02456,0.72765,-0.17839
95,5057,-0.23855,-0.5904,0.18779,0.50949,-0.60883
96,5059,-0.0311,-0.25607,0.16406,0.08105,-0.7186
97,5061,0.34018,-0.55494,0.23439,0.17007,-0.83108
98,5063,0.40222,0.32762,-0.25628,0.01725,-0.26985
99,5069,-0.56179,0.10413,0.32987,-0.25554,-0.38151
100,5071,0.50526,-0.21887,0.06491,0.59617,-0.20027
101,5085,0.42402,0.23628,0.08611,-0.03092,-0.15739
102,5091,-0.32649,-0.1101,0.29362,-0.06799,-0.79933
103,5093,-0.55247,-0.09384,0.1514,0.39206,-0.59119
104,5103,-0.05546,-0.12139,0.51993,-0.43407,-0.7826
105,5107,-0.57061,-0.01883,0.21363,-0.11021,-0.76181
106,5111,0.0355,-0.27119,0.33801,0.50594,-0.29785
107,5113,0.156,0.14628,0.10918,0.06629,0.05507
108,5115,0.52599,0.63547,-0.34101,-0.18202,0.25841
109,5119,-0.34214,0.70855,0.17453,-0.84802,0.71639
110,5123,-0.24198,-0.25434,0.07947,0.01548,-0.67201
111,5125,-0.08322,0.05001,-0.21948,0.14193,0.12017
112,5131,0.43618,0.75334,-0.39671,-0.13291,0.44287
113,5133,0.47917,-0.43653,-0.16212,0.22816,-1.12334
114,5139,-0.29057,-0.00024,0.15431,0.22551,-0.59389
115,5143,0.84295,0.97066,-0.21302,-0.71297,0.76611
116,5145,0.7893,0.47953,-0.56836,-0.19099,0.30249
117,6001,-0.53121,-0.10543,-0.40563,-0.56912,1.75219
118,6005,0.20154,0.69899,0.39954,-0.18058,0.22532
119,6007,0.05668,-0.27163,-0.5151,0.09537,1.2393
120,6009,0.63823,0.64026,-0.04689,-0.40397,0.23221
121,6011,0.1899,-0.74212,0.27158,0.74704,-0.57666
122,6013,-0.23598,-0.22463,-0.23108,-0.37939,0.88708
123,6015,-0.03065,-0.53438,-0.64292,0.82468,0.00032
124,6017,0.43817,0.61391,-0.3728,-0.29108,1.14583
125,6019,-0.33484,-1.09467,-0.15621,0.13564,0.41811
126,6021,-0.23435,-1.0497,-0.28087,0.41603,-0.55615
127,6023,-0.06892,-0.60889,-0.8864,0.7102,1.87085
128,6025,-0.13025,-1.44788,-0.46646,0.7033,0.34674
129,6029,-0.52767,-1.41106,-0.21329,0.46853,0.3196
130,6031,-0.14262,-1.25074,-0.22589,0.43461,-0.14995
131,6033,-0.00842,-0.19068,-0.48641,0.46475,0.75367
132,6035,0.30061,-0.81591,0.65728,0.23699,-0.45532
133,6037,-0.15711,-0.39076,0.32409,-0.16427,1.65006
134,6039,-0.53558,-1.3605,-0.7891,0.70047,0.38854
135,6041,0.57,1.29773,-0.73227,-0.46939,1.82045
136,6045,0.22271,0.02414,-0.4716,0.17909,1.05148
137,6047,-0.37819,-1.42524,-0.30721,0.76375,0.17484
138,6051,0.64914,0.82542,0.43451,-0.65044,0.5431
139,6053,-0.26727,-1.17539,-0.39575,0.34371,0.60049
140,6055,0.4398,0.35195,-0.0553,-0.41324,0.98133
141,6057,0.48505,0.74534,-0.21061,-0.26571,1.50606
142,6059,0.46601,0.35804,-0.33639,-0.41554,1.52261
143,6061,0.38327,0.26584,-0.10954,-0.26876,1.03702
144,6065,-0.30174,-1.11165,0.03705,0.10268,0.60959
145,6067,-0.01893,-0.19419,-0.2867,-0.11147,0.92456
146,6069,-0.61491,-1.53275,0.08437,0.61488,0.05239
147,6071,-0.43833,-1.21297,0.19386,0.1485,0.42026
148,6073,0.10831,0.2036,-0.19244,-0.44548,1.80395
149,6075,0.24457,0.6036,-0.62222,-0.49777,2.18205
150,6077,-0.37373,-1.31961,-0.03863,0.50888,0.22215
151,6079,0.89206,0.97301,-0.58181,-0.57058,1.65872
152,6081,0.40582,0.47855,-0.79481,-0.43264,1.47005
153,6083,0.37951,0.0123,-0.37204,-0.07727,1.84039
154,6085,0.25566,0.46561,-0.80865,-0.44084,1.70573
155,6087,0.20677,-0.16832,-0.92029,0.11036,2.10053
156,6089,0.52359,-0.09538,-0.57749,0.21338,1.39741
157,6093,0.3007,-0.23295,-0.49671,0.54813,0.57232
158,6095,-0.49842,-0.96015,-0.08913,-0.17369,0.4202
159,6097,0.56307,0.90833,-0.79404,-0.40386,1.87309
160,6099,-0.25568,-1.1819,-0.30058,0.34403,0.71122
161,6101,-0.34501,-1.23509,-0.18908,0.53867,-0.11899
162,6103,0.35092,0.09039,-0.56754,0.4213,-0.05034
163,6107,-0.25907,-1.62546,-0.27378,0.61084,0.17649
164,6109,0.62281,0.65595,-0.86854,-0.06425,0.84829
165,6111,0.09531,-0.66829,-0.16456,-0.07614,1.04758
166,6113,-0.14866,-0.49585,-1.07266,0.20945,1.34193
167,6115,-0.23602,-1.49304,0.38949,0.82115,-0.22358
168,8001,-0.39971,-0.32712,-0.47692,0.19806,1.05649
169,8005,0.37514,1.01472,-0.68529,-0.62141,1.42997
170,8013,0.63863,1.08189,-0.85894,-0.6712,2.01341
171,8014,0.67272,1.12412,-0.84819,-0.47149,1.00497
172,8031,0.07957,0.84433,-0.47811,-0.65999,1.92423
173,8035,0.63096,1.05033,-0.5331,-0.29424,1.17963
174,8037,0.8979,1.65984,-0.00913,-0.82114,1.076
175,8041,0.37546,0.81895,-0.96549,-0.57159,1.66847
176,8045,0.68782,1.01813,-0.13297,-0.58525,0.74313
177,8051,0.746,1.07329,0.25071,-0.69144,0.2359
178,8059,-0.20426,-0.48088,-0.58579,0.1466,1.56924
179,8067,0.27057,0.00747,-0.61908,0.28071,0.99274
180,8069,0.83706,1.22896,-0.77241,-0.85476,1.733
181,8075,-0.04821,0.50656,0.14022,0.23902,-0.71436
182,8077,0.25926,0.16026,-0.40814,-0.02516,0.62128
183,8087,0.13088,0.25868,-0.33451,0.30176,-0.48439
184,8097,0.31326,1.14414,0.45941,-1.02058,1.14637
185,8101,-0.08691,0.31667,-0.50589,0.243,0.88819
186,8107,-0.74029,-1.81945,-0.12609,0.7011,0.99925
187,8117,0.78232,1.46553,-0.15023,-1.16904,0.85883
188,8123,0.37299,0.33461,-0.41892,0.07218,0.9626
189,9001,-0.44424,-0.00984,-0.28307,0.03783,0.55219
190,9003,-0.81878,-0.239,-0.0214,-0.15702,0.69183
191,9005,-0.20299,-0.15601,-0.73818,0.55016,0.71981
192,9007,-0.29208,-0.08746,-0.46835,0.2427,0.61609
193,9009,-0.82431,-0.44453,-0.20318,0.21742,0.90862
194,9011,-0.4443,-0.16133,-0.44946,0.25489,1.06616
195,9013,0.1131,-0.18197,-0.11462,0.13507,0.82055
196,9015,-0.22394,-0.29594,-0.21084,0.446,0.21781
197,10001,-0.66207,-0.48436,0.24659,-0.08236,0.12702
198,10003,-0.57464,0.10794,0.11068,-0.4759,0.66226
199,10005,-0.07849,0.02652,-0.01869,0.28624,0.10638
200,11001,-0.27509,0.74227,-0.2243,-0.77187,1.66518
201,12001,0.0534,0.80915,-0.30658,-0.76412,1.50409
202,12005,0.53793,0.39649,0.43181,-0.59741,0.3003
203,12007,0.24267,0.16668,0.3239,-0.17637,-0.60161
204,12009,-0.12042,0.41235,-0.6228,-0.34534,1.32087
205,12011,-0.67877,0.11658,0.31029,-0.72763,0.96506
206,12015,-0.20773,0.45045,-0.16295,-0.06293,0.68861
207,12017,-0.06424,0.38681,-0.69697,0.29491,0.77641
208,12019,0.05266,-0.16538,0.20761,0.07226,0.40511
209,12021,-0.25725,0.70634,-0.1021,-0.23867,1.10912
210,12023,-0.11889,0.22052,-0.30085,0.18398,0.14637
211,12031,-0.26112,0.57684,0.22367,-0.86127,1.04551
212,12033,-0.41805,-0.51725,-0.34559,0.47501,0.17155
213,12035,-0.30495,-0.20278,-0.4165,0.56882,0.96179
214,12039,-0.33479,0.0682,0.62493,-0.49059,-0.46579
215,12051,-0.2626,-0.15861,0.68937,-0.06749,-0.40411
216,12053,0.12695,0.15464,-0.63889,-0.1205,0.93426
217,12055,-0.08025,0.11983,-0.52578,0.30541,0.13428
218,12057,-0.32673,0.58542,0.08802,-0.71368,1.35585
219,12061,-0.13769,0.01974,0.0284,-0.10503,0.86203
220,12063,0.25025,0.3734,-0.36313,-0.05006,-0.01413
221,12069,0.02863,0.17985,-0.38107,-0.24475,0.8883
222,12071,-0.02734,0.78242,-0.19881,-0.50956,0.98205
223,12073,-0.32599,0.29088,0.24687,-0.83239,0.87154
224,12075,-0.30955,-0.47891,-0.13473,0.72379,-0.14711
225,12081,-0.02448,0.30777,0.28066,-0.48096,0.51225
226,12083,-0.52472,-0.75078,-0.30646,0.44233,0.7958
227,12085,-0.16819,0.10464,-0.22024,0.09288,0.79983
228,12086,-0.72311,-0.21467,0.75188,-0.45198,1.02797
229,12087,-0.1312,0.8536,0.07482,-0.35875,1.38168
230,12089,-0.1867,-0.06083,0.14619,0.60343,-0.0046
231,12091,0.06511,0.40729,0.02496,-0.23718,0.98765
232,12093,0.32981,-0.17875,0.23899,-0.05343,0.04059
233,12095,-0.19234,0.31558,0.19397,-0.68349,1.45195
234,12097,-0.40861,-0.53414,0.02233,-0.01138,0.6925
235,12099,-0.11778,1.02584,0.16098,-0.97385,1.22811
236,12101,0.2105,0.50256,-0.48748,-0.08577,0.92323
237,12103,-0.02324,0.61252,-0.47343,-0.31364,1.4448
238,12105,0.03165,0.08793,-0.03812,-0.48603,0.71012
239,12107,-0.18003,-0.27732,-0.01568,-0.01152,-0.01545
240,12109,0.36346,0.79314,-0.30019,-0.43395,1.09889
241,12111,-0.68508,-0.22054,0.08423,-0.4378,0.25631
242,12113,-0.14325,-0.36279,-0.27032,0.1007,0.69669
243,12115,-0.68002,-1.44706,-0.08299,1.35418,0.85019
244,12117,-0.07016,0.17152,-0.59486,-0.31827,1.13134
245,12119,0.46633,0.96771,-0.14396,-0.46863,0.29029
246,12127,-0.23481,0.1834,0.11902,-0.37129,0.74264
247,12131,0.61894,0.5965,0.57121,-0.59765,0.18849
248,13009,0.25357,0.2538,0.09394,-0.1244,0.3623
249,13013,0.01486,-0.22105,0.00803,0.76604,0.07182
250,13015,0.01158,-0.2386,0.23155,0.29452,0.25027
251,13017,-0.40538,-0.36832,0.44473,-0.01436,-0.86882
252,13021,-0.77986,0.14995,0.35618,-0.60155,0.24453
253,13023,-0.04102,-0.19785,0.38368,-0.11848,-0.62554
254,13029,-0.27868,-0.80492,-0.71787,0.49249,0.05957
255,13031,-0.47884,-0.14269,0.29569,-0.19086,0.18753
256,13033,-0.55122,-0.45405,0.51352,0.10001,-0.97904
257,13035,-0.2635,-0.35832,0.52364,-0.18081,-0.28907
258,13039,0.045,0.08297,0.14622,-0.3384,-0.01098
259,13045,-0.1032,0.28529,0.19756,-0.30276,0.29203
260,13047,0.48817,-0.014,-0.19914,0.28341,0.44975
261,13051,-0.55682,0.17814,0.10916,-0.5582,1.09016
262,13055,0.02053,0.06667,-0.12568,0.48188,-0.50324
263,13057,0.41335,0.9163,-0.29255,-0.08502,0.65807
264,13059,0.23159,0.36845,-0.25344,-0.31811,1.42992
265,13063,-0.71387,-0.16731,0.83152,-0.15724,0.12994
266,13067,-0.1534,-0.1497,0.27964,-0.38987,0.41608
267,13069,-0.02305,-0.40949,0.7572,-0.00589,-0.54478
268,13071,0.03136,-0.12689,-0.08292,0.03146,-0.27975
269,13073,-0.08856,-0.16097,-0.04525,-0.10475,0.1444
270,13077,-0.26272,0.07202,0.14244,-0.23459,-0.0474
271,13081,-0.29732,-0.21068,0.82803,-0.352,-0.79352
272,13087,-0.22562,-0.20785,0.46075,-0.32838,-0.41755
273,13089,-0.63136,0.12752,0.75873,-0.31659,0.40887
274,13095,-0.32479,-0.03135,0.75935,-0.05069,-0.13821
275,13097,-0.16964,-0.11849,0.54751,-0.60412,0.35664
276,13099,-0.54284,-0.35725,0.29296,0.01376,-1.23922
277,13103,0.21341,0.08474,-0.21918,0.252,-0.37494
278,13105,-0.03219,-0.05209,0.35921,0.15381,-0.92716
279,13107,-0.45595,-0.20088,0.26715,0.15539,-0.78096
280,13113,0.27033,0.74593,0.18555,-0.74263,0.65366
281,13115,-0.12706,0.36167,-0.10928,-0.1267,0.18103
282,13117,0.45549,0.5938,-0.14797,-0.25267,0.43793
283,13121,-0.50068,0.48021,0.68963,-0.78244,1.12448
284,13123,0.23651,0.00317,0.17761,0.25183,0.01716
285,13127,-0.40489,-0.10637,0.45054,-0.33944,0.12716
286,13129,0.09257,-0.48033,-0.48148,1.06145,-0.35403
287,13131,0.16722,-0.23512,0.39023,-0.10132,-0.60673
288,13135,-0.14296,0.30448,0.2441,-0.83742,0.51555
289,13137,0.46874,0.42549,0.0287,-0.0282,-0.16441
290,13139,0.64552,0.50238,-0.09181,-0.29545,0.47969
291,13143,0.25395,-0.20931,-0.24704,0.20845,-0.01622
292,13147,-0.02576,-0.13075,0.32483,0.15482,-0.50649
293,13151,-0.08814,0.17247,0.57192,-0.64547,0.26087
294,13153,-0.79449,-0.1779,0.33241,-0.09875,-0.10658
295,13157,-0.20888,0.11027,-0.09597,0.1435,-0.26765
296,13163,-0.04026,-0.30004,0.71008,0.16391,-1.05465
297,13171,-0.11994,-0.0998,0.4105,0.05528,-0.67061
298,13175,-0.3237,-0.00495,0.04228,0.00359,-0.19742
299,13177,0.0671,0.01121,0.1536,0.42236,0.08403
300,13179,-0.78348,-0.43185,0.04536,-0.23125,0.03937
301,13185,-0.46151,-0.37634,0.28518,0.07024,0.09923
302,13187,0.76032,0.53865,-0.46972,-0.04869,0.35058
303,13189,-0.36679,-0.35476,0.70735,0.10996,-0.61611
304,13199,-0.27982,-0.59765,-0.06208,0.38558,-0.34934
305,13205,-0.48995,-0.10924,0.46347,0.1276,-0.87378
306,13207,-0.24814,-0.08659,0.28426,0.02257,-0.99117
307,13211,-0.1866,0.26522,0.53244,-0.28408,-0.00343
308,13213,0.57264,0.20212,-0.13109,0.04698,-0.25483
309,13215,-0.62457,0.19337,0.56872,-0.50389,0.13144
310,13217,-0.35111,-0.49374,0.33728,-0.29822,0.13881
311,13219,0.52524,0.45897,0.34327,-0.71059,-0.48222
312,13223,0.04088,0.05515,0.41613,-0.0302,0.37614
313,13225,-0.45759,-0.02229,0.52119,0.12781,-0.27236
314,13231,0.1222,0.21977,0.61913,0.0134,-0.5897
315,13233,-0.13494,-0.13887,0.14115,0.79782,-0.20496
316,13245,-0.47528,0.27709,0.41431,-0.76842,0.41828
317,13247,-0.58627,-0.30982,0.67846,-0.08033,0.13012
318,13255,-0.37455,-0.2287,0.51247,-0.09095,0.01145
319,13257,0.40388,-0.12213,-0.00971,0.08188,-0.38041
320,13261,-0.44179,0.20901,0.1809,-0.00879,-0.30676
321,13267,-0.32167,-0.23062,0.22848,-0.02273,-0.78312
322,13275,-0.27314,-0.20875,0.54653,-0.51279,-0.25066
323,13277,-0.47489,-0.3748,0.12359,-0.04227,-0.11046
324,13279,-0.30201,-0.32822,0.24295,0.61745,-0.5623
325,13285,0.07,0.37181,0.78902,-0.69515,-0.52243
326,13293,-0.41835,0.0579,0.34391,0.02809,-0.54908
327,13295,0.32379,0.36736,-0.23352,0.75425,0.242
328,13297,-0.38843,-0.15249,0.22636,0.06122,-0.34023
329,13299,-0.22355,0.09455,0.43781,-0.98958,-0.23027
330,13303,-0.48254,0.22023,0.46204,-0.41601,-1.08477
331,13305,0.49906,0.2427,0.76583,-0.54364,-0.38289
332,13311,0.59664,0.89633,0.75074,-0.90861,0.31501
333,13313,0.4116,0.01604,-0.09664,0.29875,0.02011
334,13319,-0.0738,-0.25196,0.0917,-0.19291,-0.18943
335,13321,-0.30731,-0.32438,0.04227,0.2232,-0.55146
336,15001,0.76892,0.57194,-0.55876,-0.22787,1.14135
337,15003,0.33029,0.2245,-0.60148,-0.23924,1.41336
338,15007,0.29664,0.20148,-0.09238,-0.11173,-0.07985
339,15009,0.94333,0.75016,0.06026,-0.27678,1.01102
340,16001,0.46424,0.96787,-0.6863,-0.59147,1.57817
341,16005,0.46519,0.23717,-0.65416,-0.01576,1.0069
342,16011,0.1046,-0.45767,-0.12337,0.40896,0.19369
343,16013,0.33664,0.48477,0.42151,0.00132,0.45305
344,16017,0.55003,0.8358,-0.3007,-0.30163,0.88274
345,16019,0.28354,0.11316,-0.69301,0.15309,1.10456
346,16027,0.44093,-0.34162,-0.93261,0.46501,0.82265
347,16055,0.28244,0.56569,-0.16885,0.05954,0.5698
348,16057,0.16045,0.42004,-1.10267,-0.27614,1.03377
349,16065,0.99432,0.3367,-0.7123,-0.17715,0.81735
350,16069,0.6948,0.31763,-0.04508,0.23948,0.13565
351,16083,0.55236,0.46127,-0.56357,0.01498,0.74701
352,17001,0.30372,0.95624,-0.17399,-0.31592,0.2909
353,17005,0.87704,0.50617,-0.2954,-0.70289,-0.02635
354,17007,-0.20665,-0.56133,-0.13254,0.59338,0.04842
355,17011,0.23015,0.55275,-0.11953,0.09914,-0.11223
356,17015,-0.30083,-0.63602,0.39397,0.46099,-0.78827
357,17019,-0.1779,0.12506,-0.71026,-0.28304,1.04214
358,17021,-0.35558,-0.79821,-0.03719,0.75305,-0.13423
359,17027,0.2537,0.18195,0.46264,0.09264,-0.33131
360,17029,-0.04721,0.19397,-0.08985,0.10256,0.06169
361,17031,-0.62135,0.10182,-0.07128,-0.20666,1.66297
